simulation_id,attack_id,cost
1,1,98919595.60220815
1,2,109223507.94982326
4,1,104401544.52712797
4,2,89512134.89501993
6,1,95068754.51044698
6,2,90785427.0841466
7,1,106107053.87780948
11,1,87980159.52720623
12,1,94886632.85289794
17,1,88317788.70718436
20,1,98430780.58040816
20,2,116989251.34527107
21,1,115787310.45428091
22,1,102872574.14126521
24,1,105206589.97102396
24,2,90358307.30244374
28,1,79867728.4015164
31,1,90779405.65780474
34,1,107090374.20703107
38,1,95241395.05960496
39,1,102751880.99080588
40,1,104387955.80992213
41,1,109970228.46237046
43,1,104339439.15136567
44,1,115178056.82733077
47,1,106403630.59619507
50,1,100504082.46140838
51,1,127887182.46003105
53,1,96860071.32617122
53,2,95474175.4265921
54,1,95373800.07959342
55,1,97190666.57541731
55,2,106570971.43172252
57,1,99291271.72377099
58,1,83682699.62138762
58,2,112749944.45490691
60,1,109741651.08784875
60,2,109769358.50484605
63,1,92185517.28398521
63,2,100829982.35686815
64,1,90859648.43995932
68,1,90690519.88976306
68,2,98209247.89373921
69,1,95161188.3264343
71,1,98633047.51606561
71,2,109493921.72781275
71,3,101878743.72493182
72,1,96578347.03427707
73,1,99073027.54201406
78,1,108054352.56858438
78,2,89396962.62460345
79,1,97692038.03255674
81,1,94541075.6491394
82,1,107914272.4961548
83,1,93325036.60071847
85,1,101558949.30881444
85,2,95120510.11324555
88,1,94242886.28042316
88,2,105776319.86141804
91,1,83594213.80849203
92,1,103403287.33773719
92,2,97418717.71395831
93,1,105213642.45198505
93,2,101926613.43935862
93,3,105273493.8741243
94,1,109967604.723829
96,1,100273844.00314865
96,2,90583684.6767893
97,1,99007746.82458869
98,1,75692628.86510304
99,1,81363191.09489128
100,1,88588925.0354308
101,1,81380949.93689513
101,2,116010806.97916922
101,3,86241601.1692217
103,1,101058219.3833509
107,1,97661498.73699525
108,1,90756347.04349254
112,1,105916761.87886024
112,2,111759421.30013442
118,1,96098300.59763585
122,1,103070195.61769958
122,2,99386861.70884229
122,3,106626679.70209023
124,1,94711185.38044962
130,1,98424890.32103868
131,1,95620029.19037515
132,1,91760845.29398866
134,1,103401388.60147163
137,1,98602969.70239168
140,1,93404238.1683669
141,1,91534802.785101
143,1,99608470.24199723
144,1,110300623.9019019
145,1,84527000.1573414
146,1,96780652.69124706
149,1,97892537.88016187
149,2,97577528.96561621
151,1,99980058.81820467
152,1,108281943.0964548
153,1,105633929.92036329
153,2,93784268.92697921
153,3,95608074.11523369
154,1,87575592.26607773
155,1,113512634.5049025
157,1,119832087.02270803
161,1,110227061.19384275
162,1,103728618.63287614
163,1,106698676.40503308
164,1,99174172.79263881
166,1,89415934.70035022
171,1,91084569.99920246
172,1,109436393.27197695
175,1,120949301.42002867
175,2,103411105.66482107
179,1,119750524.86132047
179,2,97140306.606458
181,1,97439539.57142612
183,1,96479513.95531636
185,1,110770750.87780699
189,1,73055220.83609417
193,1,98475580.71469142
194,1,80273248.69821873
198,1,100337435.30984068
199,1,100610948.41720815
201,1,97732560.08570696
206,1,91920812.6219172
206,2,114425165.039412
208,1,127658783.49468392
210,1,102351242.3828053
212,1,100444126.89779544
217,1,96189459.36686796
220,1,112380987.71215677
221,1,104697519.8385133
223,1,100610673.05658257
224,1,93957741.69058746
229,1,101443908.66719729
232,1,104909316.81070738
232,2,98448356.71766764
232,3,110515099.14913389
234,1,104480948.14069384
234,2,89023999.63283308
235,1,100462243.78913301
236,1,110877458.49950087
237,1,91984017.22258359
250,1,87902015.25552115
251,1,104947800.5782063
252,1,103793598.80423638
253,1,99889443.63780157
253,2,93440100.63629718
257,1,90444521.48641413
258,1,86343953.11119823
258,2,111713527.54589283
261,1,84458900.95614485
262,1,95872947.09480861
264,1,97760473.35748728
266,1,102006444.47406864
266,2,86766681.55265838
268,1,83930980.74751614
269,1,124357212.29915331
272,1,98844979.03922485
275,1,91140087.18283388
275,2,106383430.54906099
277,1,94329033.61691162
278,1,91692137.39343038
278,2,95499788.97341125
278,3,105654011.48546246
279,1,97935698.93924072
280,1,106269130.31335345
280,2,112970298.56869188
284,1,102240916.43435234
286,1,88753368.99832478
288,1,118757741.46130913
288,2,93136678.36278275
292,1,84323076.98839058
293,1,107658885.98847644
293,2,105509121.84261267
295,1,105851725.56563245
298,1,86018820.89723207
300,1,84469736.302009
300,2,93669598.62948318
303,1,111414127.44240326
309,1,86043238.86239341
312,1,95112628.58971992
314,1,79331123.34105644
319,1,99499581.87521596
319,2,94835428.97456266
325,1,79111811.68395026
326,1,80643507.98579374
327,1,103790000.35449353
328,1,87684890.01466501
329,1,106697892.94458275
332,1,104199569.87835342
332,2,92583249.09518412
332,3,95213069.80748078
335,1,70850700.65555994
342,1,103447035.26747169
